"","4-waygrass","achmol","aegtri","agohet","aircar","amsmen","anaarv","avebar","avefat","bare","brimax","brimin","brocar","brodia","brohor","bromad","broster","calcil","callut","calpar","carpac","cardamine","casatt","cenmil","cenmil (not?)","cerglo","clapur","conarv","croset","cynech","daucpusil","delvar","diccap","dicmul","elygla","erobot","eupspa","filgal","galpar","gerdis","greenbrush","hypgla","laccil","lacser","lagophylla","latsph","linpar","lolmul","lomatium","longawnbrome","lotmic","lotpur","lotwra","lotus","lupbic","luzcom","madgra","miccal","naspul","navpub","notago","petdub","plalan","planot","poasecunda","purplecup","purpleflower","rancal","trihir","rock","shearv","shieldseed","sidalcea","sisbel","taecap","torilis","tribif","trialbo","tricil","tridub","trieri","trifuc","trigra","trihya","trilax","trimicroceph","trimicrodon","triwhite","triwil","triwra","vicsat","unktar","vicvil","vulmyu","whiterib","whorledtarweed","zigadenus","collinsia","delgra","galapa","germol","astragalus","linbic","oak","pink cup opposite","sanbip","scapec","thycur","unkforb","wood"
"1033","","","4","","","","","1","","","5","","","","2","","","","","","","","","","","","2","","","","2","","1","","","1","","","","3","","","","","","2","","","","","","","","","2","","3","2","","","","","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","2","","","","","","","","","","","","","","","","1","","",""
"1049","","","4","","","","","","","","5","","","1","2","","","","","","","","","","","","2","","","","3","","","","","","1","","","3","","","","","","1","","","","","","","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","3","","",""
"1065","","","3","","","","","1","","","5","","","3","2","","","","","","1","","","","","","1","","","","1","","","","","","1","","","","","","","","","2","","","","","1","","","","2","","2","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","2","","",""
"1081","","","1","","","","","","","","5","","","2","3","","","","","","","","","","","","2","","","","","","1","","","2","","","1","","","1","","","","1","","","","","1","","","","3","","3","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","",""
"1089","","","2","","","","","3","","","3","","","","3","","","","","","2","","","2","","","1","","","","1","","","","","","1","","","2","","2","","","","","","","","","","","","","2","","1","","","","","","","","","","","","","","","","2","","","3","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","2","","",""
"1105","","","3","","","","","2","","","3","","","","3","","","","","","","","","","","","2","","","","2","","","","","","2","","2","3","","2","","","","1","","","","","","","","","","","3","","","","","","","","","","","","","","","","1","","","","","","2","","","","","","","2","","","","","2","","","","","","","","","","1","","","","","","2","","",""
"1121","","","4","","","","","","","","5","","","","2","","2","","","","","","","","","","2","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"1137","","","4","","","","","1","","3","5","","","","2","","","","","","1","","","","","","3","","","","","","","","","1","","","","2","","2","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"1098","","","2","","","","","1","","30","3","","","","3","","","","","","","","","","","","","","","","3","","","","","2","","","2","3","","3","","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","2","","","","","","1","","","","","","","","","","","","2","","","","","","","","","","","","","","","","2","","",""
"1114","","","3","","","","","1","","10","5","","","","2","","","","","","","","","2","","","3","","","","2","","","","","1","1","","1","3","","3","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","2","","",""
