site,year,date, block,plot,X,Y,Overhead,First,Second,Interception,,Error Checking,,Notes
HREC,2018,,1,1,0,0,1482,85,128,0.93,0,0,0,
HREC,2018,,1,1,0,2,1470,141,92,0.92,0,0,0,
HREC,2018,,1,1,4,2,1496,95,41,0.95,0,0,0,
HREC,2018,,1,1,6,3,1477,524,173,0.76,0,0,0,
HREC,2018,,1,1,7,3,1466,386,155,0.82,0,0,0,
HREC,2018,,1,1,6,5,1424,144,137,0.90,0,0,0,
HREC,2018,,1,1,6,6,1440,365,168,0.81,0,0,0,
HREC,2018,,1,1,7,6,1447,407,166,0.80,0,0,0,
HREC,2018,,1,1,7,7,1498,115,145,0.91,0,0,0,
HREC,2018,,1,1,2,7,1460,262,162,0.85,0,0,0,
HREC,2018,,1,2,0,0,1463,495,876,0.53,0,0,0,
HREC,2018,,1,2,0,2,1459,322,162,0.83,0,0,0,
HREC,2018,,1,2,4,2,1457,529,56,0.80,0,0,0,
HREC,2018,,1,2,6,3,1461,351,549,0.69,0,0,0,
HREC,2018,,1,2,7,3,1504,588,520,0.63,0,0,0,
HREC,2018,,1,2,6,5,1506,178,34,0.93,0,0,0,
HREC,2018,,1,2,6,6,1485,1097,463,0.47,0,0,0,
HREC,2018,,1,2,7,6,1527,231,447,0.78,0,0,0,
HREC,2018,,1,2,7,7,1494,159,741,0.70,0,0,0,
HREC,2018,,1,2,2,7,1525,296,99,0.87,0,0,0,
HREC,2018,,2,1,0,0,1477,35,184,0.93,0,0,0,
HREC,2018,,2,1,0,2,1499,53,27,0.97,0,0,0,
HREC,2018,,2,1,4,2,1520,85,54,0.95,0,0,0,
HREC,2018,,2,1,6,3,1520,256,418,0.78,0,0,0,
HREC,2018,,2,1,6,5,1551,61,69,0.96,0,0,0,
HREC,2018,,2,1,6,6,1560,351,467,0.74,0,0,0,
HREC,2018,,2,1,7,6,1563,15,63,0.98,0,0,0,
HREC,2018,,2,1,7,7,1544,150,319,0.85,0,0,0,
HREC,2018,,2,1,2,7,1556,372,701,0.66,0,0,0,
HREC,2018,,2,1,7,3,1538,504,337,0.73,0,0,0,
HREC,2018,,2,2,0,0,1553,113,40,0.95,0,0,0,
HREC,2018,,2,2,0,2,1550,13,35,0.98,0,0,0,
HREC,2018,,2,2,4,2,1549,228,433,0.79,0,0,0,
HREC,2018,,2,2,6,3,1544,174,194,0.88,0,0,0,
HREC,2018,,2,2,6,5,1505,446,516,0.68,0,0,0,
HREC,2018,,2,2,6,6,1482,336,187,0.82,0,0,0,
HREC,2018,,2,2,7,6,1501,162,62,0.93,0,0,0,
HREC,2018,,2,2,7,7,1506,14,72,0.97,0,0,0,
HREC,2018,,2,2,2,7,1536,47,8,0.98,0,0,0,
HREC,2018,,2,2,7,3,1515,229,237,0.85,0,0,0,
HREC,2018,,3,1,0,0,1699,1290,1111,0.29,0,0,0,
HREC,2018,,3,1,0,2,1702,808,824,0.52,0,0,0,
HREC,2018,,3,1,4,2,1747,855,926,0.49,0,0,0,
HREC,2018,,3,1,6,3,1777,752,689,0.59,0,0,0,
HREC,2018,,3,1,7,3,1828,1149,1044,0.40,0,0,0,
HREC,2018,,3,1,6,5,1744,408,439,0.76,0,0,0,
HREC,2018,,3,1,6,6,1733,236,1052,0.63,0,0,0,
HREC,2018,,3,1,7,6,1703,425,688,0.67,0,0,0,
HREC,2018,,3,1,7,7,1682,299,281,0.83,0,0,0,
HREC,2018,,3,1,2,7,1630,1048,1101,0.34,0,0,0,
HREC,2018,,3,2,0,0,1632,1140,1012,0.34,0,0,0,
HREC,2018,,3,2,0,2,1617,352,271,0.81,0,0,0,
HREC,2018,,3,2,4,2,1612,298,471,0.76,0,0,0,
HREC,2018,,3,2,6,3,1603,1280,1552,0.12,0,0,0,
HREC,2018,,3,2,7,3,1584,1381,1532,0.08,0,0,0,
HREC,2018,,3,2,6,5,1581,629,542,0.63,0,0,0,
HREC,2018,,3,2,6,6,1576,1110,620,0.45,0,0,0,
HREC,2018,,3,2,7,6,1594,657,852,0.53,0,0,0,
HREC,2018,,3,2,7,7,1540,1292,1317,0.15,0,0,0,
HREC,2018,,3,2,2,7,1507,936,573,0.50,0,0,0,
HREC,2018,,4,1,0,0,1523,1644,1591,-0.06,0,1,1,Bad
HREC,2018,,4,1,0,2,1483,761,773,0.48,0,0,0,
HREC,2018,,4,1,4,2,1483,638,955,0.46,0,0,0,
HREC,2018,,4,1,6,3,1503,1054,672,0.43,0,0,0,
HREC,2018,,4,1,7,3,1466,980,773,0.40,0,0,0,
HREC,2018,,4,1,6,5,1491,69,73,0.95,0,0,0,
HREC,2018,,4,1,6,6,1460,75,158,0.92,0,0,0,
HREC,2018,,4,1,7,6,1463,100,163,0.91,0,0,0,
HREC,2018,,4,1,7,7,1463,31,86,0.96,0,0,0,
HREC,2018,,4,1,2,7,1482,708,662,0.54,0,0,0,
HREC,2018,,4,2,0,0,1505,454,752,0.60,0,0,0,
HREC,2018,,4,2,0,2,1505,522,432,0.68,0,0,0,
HREC,2018,,4,2,4,2,1462,316,502,0.72,0,0,0,
HREC,2018,,4,2,6,3,1473,176,204,0.87,0,0,0,
HREC,2018,,4,2,7,3,1426,183,121,0.89,0,0,0,
HREC,2018,,4,2,6,5,983,223,371,0.70,0,0,0,
HREC,2018,,4,2,6,6,964,81,264,0.82,0,0,0,
HREC,2018,,4,2,7,6,965,188,323,0.74,0,0,0,
HREC,2018,,4,2,7,7,1450,402,384,0.73,0,0,0,
HREC,2018,,4,2,2,7,1450,544,471,0.65,0,0,0,
SFREC,2018,,1,1,0,0,1523,12,73,0.97,0,0,0,
SFREC,2018,,1,1,0,2,1532,114,110,0.93,0,0,0,
SFREC,2018,,1,1,4,2,1538,35,21,0.98,0,0,0,
SFREC,2018,,1,1,6,3,1473,90,51,0.95,0,0,0,
SFREC,2018,,1,1,7,3,1428,185,166,0.88,0,0,0,
SFREC,2018,,1,1,6,5,1516,63,70,0.96,0,0,0,
SFREC,2018,,1,1,6,6,1480,105,85,0.94,0,0,0,
SFREC,2018,,1,1,7,6,1462,25,50,0.97,0,0,0,
SFREC,2018,,1,1,7,7,1438,75,46,0.96,0,0,0,
SFREC,2018,,1,1,2,7,1460,90,70,0.95,0,0,0,
SFREC,2018,,1,2,0,0,1518,139,70,0.93,0,0,0,
SFREC,2018,,1,2,0,2,1497,110,96,0.93,0,0,0,
SFREC,2018,,1,2,4,2,1488,141,435,0.81,0,0,0,
SFREC,2018,,1,2,6,3,1470,344,161,0.83,0,0,0,
SFREC,2018,,1,2,7,3,1494,188,57,0.92,0,0,0,
SFREC,2018,,1,2,6,5,1478,323,326,0.78,0,0,0,
SFREC,2018,,1,2,6,6,1475,148,253,0.86,0,0,0,
SFREC,2018,,1,2,7,6,1450,273,126,0.86,0,0,0,
SFREC,2018,,1,2,7,7,1467,251,201,0.85,0,0,0,
SFREC,2018,,1,2,2,7,242,23,15,0.92,0,0,0,
SFREC,2018,,2,1,0,0,1564,256,255,0.84,0,0,0,
SFREC,2018,,2,1,0,2,1556,193,343,0.83,0,0,0,
SFREC,2018,,2,1,4,2,1575,182,255,0.86,0,0,0,
SFREC,2018,,2,1,6,3,1579,222,188,0.87,0,0,0,
SFREC,2018,,2,1,7,3,1559,309,445,0.76,0,0,0,
SFREC,2018,,2,1,6,5,1551,322,983,0.58,0,0,0,
SFREC,2018,,2,1,6,6,1556,760,740,0.52,0,0,0,
SFREC,2018,,2,1,7,6,1580,352,504,0.73,0,0,0,
SFREC,2018,,2,1,7,7,1541,496,517,0.67,0,0,0,
SFREC,2018,,2,1,2,7,1556,188,236,0.86,0,0,0,
SFREC,2018,,2,2,0,0,1542,261,119,0.88,0,0,0,
SFREC,2018,,2,2,0,2,1533,208,208,0.86,1,0,0,
SFREC,2018,,2,2,4,2,1530,172,205,0.88,0,0,0,
